,fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
45112,1,0.9,0.3554395234264859,-1,357,60,0.0124737559159386,-0.9469287567911672,AB,1529,8445.918054095479,6681.265393966402,4861.270649169328,905,2,CC,371,1,BA,1,0,31,0,1500.0,0,INTERNET,5.5149239785274045,windows,0,1,0,1
45194,1,0.9,0.7644466901659361,-1,56,50,0.0230490730477296,-1.059091153633528,AB,1144,7226.854451166448,4667.36713773695,5008.359897106991,20,1,CA,234,1,BB,1,1,31,0,1500.0,0,INTERNET,6.791381647420613,windows,0,1,0,4
45339,1,0.1,0.1053103864644701,-1,46,30,0.0153641065877996,-1.8058408026479853,AB,3121,7317.891216695937,3713.4266384616944,3149.724106526416,19,10,CA,132,1,BC,0,1,1,0,500.0,0,INTERNET,7.394971506679176,windows,0,1,0,7
45348,1,0.9,0.8916018345836273,-1,143,60,0.0325219941244195,-0.9952065050948806,AC,1547,1629.6985161041746,5581.834721466084,5561.109862803678,0,1,CC,314,0,BC,0,1,-1,0,1500.0,1,INTERNET,11.82038517750869,windows,0,1,0,1
45372,1,0.1,0.4776941346617255,30,5,20,0.0056537596610226,-1.3509967014816442,AB,2940,2992.1374619261505,2698.802076063216,3296.134268938911,23,3,CA,80,1,BD,0,1,6,0,200.0,0,INTERNET,12.066464357511926,windows,0,2,0,6
45464,1,0.7000000000000001,0.1451788372119365,-1,81,20,1.8503507012376967,-1.0814679180583424,AC,1562,6262.881969125903,5048.5512519850045,4794.565725308702,1,10,CA,64,1,BE,0,0,-1,0,200.0,0,INTERNET,5.918277858233488,windows,0,1,0,3
45601,1,0.9,0.0639605410580166,-1,72,40,0.0016748014637401,-1.1520436670182603,AB,1761,580.0222885424622,4162.118655712048,4339.697764761239,16,7,CA,288,1,BA,0,1,1,0,1000.0,0,INTERNET,5.220864344504378,windows,1,1,0,4
45635,1,0.5,0.2031437941965485,-1,17,30,0.3801903992017605,-1.229815186189938,AC,2765,5752.92878805961,4854.029725971668,5089.622387027575,0,12,CA,93,1,BA,0,1,-1,0,200.0,0,INTERNET,13.061979969408426,windows,0,1,0,1
45759,1,0.5,0.0722910041986452,-1,163,30,0.0015635440807309,-1.3508233192843968,AB,2075,1914.1400554566053,5623.163118217348,4323.500415266838,2,13,CA,256,0,BA,0,0,1,0,1000.0,0,INTERNET,3.124918146640494,windows,0,1,0,4
45811,1,0.4,0.8798050017348208,-1,121,50,0.0187692443936824,-1.31021194626147,AC,1246,2586.837162459034,3659.3966110326783,4175.991926266425,1,5,CA,128,1,BB,0,1,-1,0,200.0,0,INTERNET,13.82206366155869,windows,1,1,0,5
46166,1,0.8,0.8368479484473242,-1,91,20,0.0215433290272953,-1.4410325569525992,AB,1065,9108.666990534552,5747.6460105049655,5285.882955872395,11,6,CA,277,0,BE,0,1,28,0,1500.0,0,INTERNET,4.736474020439943,windows,0,1,0,1
46514,1,0.5,0.0927081945433816,-1,161,50,0.0228777444302818,-0.968784130736966,AB,1510,5856.408168977918,4850.816888493127,4219.443560388466,793,6,CA,304,1,BA,0,1,21,1,1500.0,0,INTERNET,3.7856345259769055,windows,0,1,0,5
46536,1,0.2,0.1136167532255155,-1,138,50,0.0003308934201951,-1.7008481104156008,AB,1695,6451.534074419781,5015.4493842279935,4893.562596029552,1935,2,CA,85,0,BA,1,1,25,0,200.0,0,INTERNET,3.53671660391564,linux,1,1,0,3
46799,1,0.3,0.1691810385464357,30,9,40,20.416066504860225,35.88447312102268,AA,2263,10569.510962718816,6305.538191699673,6819.272682420263,48,20,CA,61,1,BA,0,1,19,1,200.0,0,INTERNET,3.4497461429049565,windows,0,1,0,2
46804,1,0.5,0.8277857986433985,-1,42,20,0.0141437630527015,-1.0695441939543426,AD,3877,6689.076838847777,7737.095028572198,6678.013968498585,14,13,CA,49,1,BA,0,1,25,0,200.0,0,INTERNET,13.31030383615406,windows,1,2,0,0
46843,1,0.9,0.0027368113173537,-1,62,50,0.008646462844851,-1.7768962854040002,AC,2896,2187.888411122933,4693.134510066401,4923.952156620508,1,5,CA,136,1,BA,0,1,-1,0,200.0,0,INTERNET,52.094436789236,macintosh,0,1,0,4
46850,1,0.9,0.1852062148132554,-1,116,50,0.0029695107112036,-0.3160358049963808,AB,772,3679.123146935456,2672.1957891268835,4368.470705554457,13,8,CA,177,0,BA,0,1,30,0,1000.0,0,INTERNET,5.065265209344316,windows,0,1,0,6
47281,1,0.9,0.6361632333377553,-1,115,50,0.0083044858865869,-0.7806009412355084,AD,764,2891.473714802618,3232.5055073921035,3962.419560645367,15,4,CA,289,1,BA,0,1,2,0,990.0,0,INTERNET,3.259589025105368,windows,0,1,0,6
47384,1,0.8,0.0474426323200139,-1,46,20,0.0216724233343489,-0.7545877171915983,AD,637,4752.213959857078,4047.777040823692,5214.335675523679,1,6,CA,330,0,BA,0,1,30,0,1500.0,0,INTERNET,2.801224855668312,windows,0,1,0,2
47405,1,0.9,0.297225749857007,-1,184,20,0.0213683717797657,-1.3785344606627257,AD,823,1237.4401958573171,2858.023276827702,4243.690904117671,8,10,CA,231,0,BA,0,1,28,0,1500.0,0,INTERNET,9.871790597463654,linux,0,1,0,6
47456,1,0.6000000000000001,0.1224695805463581,-1,61,50,13.626446848384536,-1.6441520870909545,AD,1371,7365.024949967372,6687.962264577199,6214.653313262535,32,8,CA,230,1,BB,0,1,30,0,200.0,0,INTERNET,6.431421437627819,macintosh,0,1,0,0
47502,1,0.9,0.2115296266111148,-1,29,40,0.0214795926843812,-0.110902791166673,AD,943,1004.5606958802144,3135.149767228371,4492.427794881804,4,5,CA,242,1,BB,0,1,30,0,1000.0,0,INTERNET,3.7752087434370174,windows,0,1,0,6
47556,1,0.8,0.8665260028282912,-1,182,40,0.0077819075335375,27.61280348091773,AA,4188,1586.3669488735136,3617.683542008288,6356.489934307879,1,4,CA,288,0,BA,1,1,25,1,1500.0,0,INTERNET,3.276199815909356,windows,1,1,0,0
47688,1,0.8,0.8626436056474467,-1,232,40,0.0003698631290793,-1.4619596267911934,AC,2520,1548.3961535073463,2934.464928723031,4077.143295376409,0,7,CA,245,0,BA,1,0,-1,0,1000.0,0,INTERNET,7.090366794654468,windows,1,1,0,4
47722,1,0.9,0.9279921703816136,-1,138,40,0.0099971633850854,-0.7988069684418112,AC,1549,6048.4768784634325,4785.104867270303,4754.878169885537,1,8,CA,312,0,BA,0,1,-1,0,1500.0,0,INTERNET,6.319868174309825,windows,1,1,0,4
47726,1,0.9,0.2449694140073602,-1,133,40,0.0012315454384812,-0.1849032811667961,AC,723,5257.533119122979,3360.160924886037,4145.645594180996,1,11,CA,204,1,BD,0,1,-1,1,1500.0,0,INTERNET,4.000635859150921,other,0,1,0,5
47975,1,0.9,0.7106150181749975,-1,74,40,0.0128178468021709,24.65251341135941,AA,1280,5064.504972407635,4689.711526162578,6274.172663044348,2,9,CA,122,1,BA,0,1,30,1,200.0,0,INTERNET,3.2877240348853864,windows,0,1,0,0
48319,1,0.9,0.7030413717587431,-1,30,50,0.0075403977403954,-1.2916982866819229,AB,2378,3561.643554172764,6580.530254842752,4738.333084879065,28,7,CA,167,1,BB,0,1,25,0,1000.0,0,INTERNET,8.350668132896958,other,1,1,0,3
48334,1,0.9,0.0998670255131825,-1,118,50,0.0057366660566468,-1.0788567017073414,AA,2913,3051.2680204718995,3476.391547566037,4962.948292423224,2,11,CA,159,0,BA,0,1,22,0,500.0,0,INTERNET,14.930356393117387,windows,0,1,0,3
48346,1,0.8,0.0665773020222625,-1,189,50,0.0381103272146547,-1.5992531803170178,AB,912,1859.976519884708,5817.05237030321,4318.634961386538,24,5,CC,224,1,BB,1,0,30,0,1000.0,0,INTERNET,7.491887935876173,linux,0,1,0,6
48363,1,0.9,0.2019241273123628,-1,51,50,0.0010096537759424,-1.4503620252766642,AB,1406,2004.1554653281632,2891.699206907177,3177.3515602545417,11,5,CA,50,1,BA,0,1,15,1,200.0,0,INTERNET,1.4169455031743816,windows,0,2,0,7
48405,1,0.2,0.045898801505424,-1,62,30,0.0125928731296909,49.44017818581322,AA,4553,9807.933506907746,5058.173876094788,6707.617174740097,17,14,CB,66,1,BC,1,1,1,0,200.0,0,INTERNET,3.629194774459276,x11,1,1,0,0
48424,1,0.3,0.8298266078638236,-1,353,50,0.035595077903514,-1.582226985792656,AB,938,1845.576273054164,5886.96337053705,4325.0543555632985,8,2,CC,126,1,BB,1,1,6,1,200.0,0,INTERNET,2.2641720157627168,other,0,2,0,6
48435,1,0.8,0.1772931350320686,-1,51,40,0.0074795117646,-1.2937831538141022,AB,1030,2738.621167355939,3463.1761228927203,3544.562251728598,2,5,CB,167,0,BB,1,1,27,0,500.0,0,INTERNET,2.8562187087358257,macintosh,1,1,0,6
48540,1,0.6000000000000001,0.4337869447963276,34,101,40,26.80033855331428,42.53271768938184,AA,761,574.4700606086368,4264.957089549013,3143.308349146121,960,7,CA,221,1,BD,1,1,7,0,200.0,0,INTERNET,14.518318666148543,windows,0,1,0,1
48631,1,0.9,0.8568832492477567,-1,125,30,0.0128689165533708,-0.5699733075147513,AC,917,5003.600425166444,3666.0848153524175,4018.3823279308863,1,9,CA,221,1,BA,1,0,-1,0,2000.0,0,TELEAPP,-1.0,other,0,0,0,6
48650,1,0.9,0.8457332363365225,-1,128,40,0.0164101282663366,28.27642951823557,AD,885,2487.054504570924,3290.243650945581,4194.222701201882,1962,3,CA,224,1,BA,0,1,1,0,1500.0,0,INTERNET,4.681687168041685,other,0,1,0,6
48666,1,0.7000000000000001,0.1532221286443776,-1,60,40,0.0100292514373866,-1.1084477489725255,AA,2029,6517.962684403915,5002.804488450932,4853.412982279444,0,5,CA,170,1,BA,0,1,31,0,500.0,0,INTERNET,6.507613183542171,other,0,1,0,4
48963,1,0.6000000000000001,0.7269314814694794,-1,196,10,0.0042022601337064,-1.2091319182569356,AC,1884,9686.99766239098,6253.807809130726,4979.8472314349,1,13,CA,156,1,BE,0,1,-1,0,500.0,0,INTERNET,6.455737678867651,windows,0,1,0,4
49048,1,0.9,0.7116044914017501,-1,88,20,0.0273772156669562,-1.0937032191150482,AA,606,4315.040796091621,4234.736132615974,3008.670416770778,14,9,CA,90,1,BE,1,0,1,0,200.0,0,INTERNET,1.008181709398242,other,1,1,0,7
49134,1,0.9,0.8926068545152943,-1,29,40,0.0067886956558949,-0.7158125234956987,AB,5406,13487.331277593086,7039.259690781701,4314.777338350879,12,10,CA,218,0,BC,0,1,1,0,1500.0,0,INTERNET,20.72690313301712,windows,0,2,0,0
49153,1,0.9,0.8368995257492139,-1,232,10,0.0065140182116747,-0.7164586276816147,AD,892,6759.432713240947,5138.483965552272,3910.840295773464,19,7,CA,251,0,BA,0,1,1,0,1000.0,0,INTERNET,5.2829468553015975,windows,0,1,0,6
49584,1,0.5,0.8443364141040429,-1,326,60,0.0242171253612034,26.088504743322268,AA,1846,2558.75368756242,2825.2655260229603,4346.02451465672,2,2,CC,116,1,BA,1,1,1,0,500.0,0,INTERNET,1.7256725938147497,other,0,1,0,6
49763,1,0.8,0.1173020301758242,-1,99,20,0.0062516746882837,-0.5244544293938324,AB,971,1559.5448815880084,1808.407528625817,3129.192610310676,13,2,CA,305,0,BA,0,1,10,0,1500.0,0,INTERNET,15.090439160275183,other,1,1,0,7
49894,1,0.9,0.1365852478491956,-1,185,50,0.0108611601020487,-1.191296143622831,AD,3624,3832.922113808852,6696.427673141976,6425.255309566855,0,2,CA,208,1,BA,1,1,2,0,1000.0,0,INTERNET,30.04648427723535,windows,0,1,0,0
49982,1,0.9,0.3122318606792215,-1,266,70,3.2879834300803306,-1.0372884796055228,AC,1131,4292.106182156211,4394.600886194131,4282.086454303827,0,1,CC,211,1,BA,0,1,-1,0,200.0,0,TELEAPP,-1.0,other,0,0,0,6
50187,1,0.9,0.7874373186797192,-1,22,20,0.0133808913143903,-1.4547197097874185,AB,639,9763.57434674826,6133.408309360258,5042.966223291695,1,11,CA,144,1,BA,0,1,1,0,200.0,0,INTERNET,3.6993328662416247,linux,0,1,0,3
50222,1,0.6000000000000001,0.1679492324912814,-1,133,50,0.0028248980306424,-0.7080814615241785,AB,1393,4057.097492921264,4731.317536294122,4385.351821484516,10,7,CA,241,0,BA,0,1,15,0,500.0,0,INTERNET,4.239536869308608,linux,1,1,0,3
50275,1,0.9,0.6695733287829195,-1,48,50,0.0166529365387528,-1.0810383903353984,AC,922,1366.8314210602314,2986.752004141857,3105.225979851731,1,1,CA,199,0,BA,1,1,-1,0,1000.0,0,INTERNET,4.615066562526071,windows,0,1,0,7
50316,1,0.9,0.6819708573095566,-1,18,50,0.0109579078856865,-1.3954340252214146,AD,2311,9901.218959289452,7451.806502158629,6440.8867611470005,12,6,CA,197,0,BC,1,1,30,0,1000.0,0,INTERNET,7.5883546617952975,other,0,1,0,0
50386,1,0.9,0.3380410128327598,-1,35,80,0.0006475191579302,-1.013067260081146,AB,3608,1283.6650930656003,3903.6475945090806,4992.909321086728,28,5,CB,202,1,BC,0,1,3,0,1000.0,0,INTERNET,4.8361684157156,windows,0,1,0,0
50399,1,0.9,0.7516227616110094,-1,23,30,0.0261189814887518,-1.2678257366046215,AD,2630,8249.439211997293,7561.59667258014,6311.671018731247,31,19,CB,120,1,BA,0,1,1,0,1500.0,0,INTERNET,5.256056842206921,windows,1,1,0,0
50688,1,0.7000000000000001,0.0766832598329535,103,1,40,0.0096062184778077,-1.326544275811093,AB,410,3737.811256849329,2909.699398683986,3103.6960823357617,37,8,CA,210,1,BA,0,0,30,0,1500.0,0,INTERNET,10.757694356870122,macintosh,0,1,0,7
50915,1,0.9,0.0950410511626529,-1,177,50,0.036563811465348,-1.0004880689743303,AC,841,2372.376079487664,6277.255694157284,4870.762891501813,0,7,CA,135,0,BB,0,1,-1,0,200.0,0,INTERNET,7.306466144724397,macintosh,0,1,0,4
51121,1,0.8,0.1512607267754267,-1,81,30,0.0083760508464909,-1.8992766839034565,AD,4834,2941.100837440841,7120.29249824508,6340.970377784148,9,8,CA,192,1,BA,0,1,1,0,1500.0,0,INTERNET,3.393948228518972,windows,1,1,0,0
51277,1,0.9,0.5099527534337887,-1,65,50,0.0138071012288123,50.93586334794645,AA,1155,3640.873375251272,3282.509563683458,4315.469846668951,2,6,CA,286,0,BA,0,1,28,0,2000.0,0,INTERNET,7.988724995185133,other,0,1,0,5
51366,1,0.8,0.7334741690097166,-1,61,60,0.0161414926747467,-0.6985581933216753,AB,872,1495.4990362049955,3258.809170002876,3857.40740084633,34,5,CA,235,1,BC,0,1,19,0,500.0,0,INTERNET,8.819398778352708,windows,0,1,0,6
51409,1,0.7000000000000001,0.3797950845285548,-1,130,50,0.0199151081431525,-0.9299404728131656,AB,1013,5263.994055177869,5194.774922069551,5187.097990448523,14,9,CA,112,1,BB,0,1,11,0,200.0,0,INTERNET,1.3879198137808977,windows,1,1,0,3
51675,1,0.7000000000000001,0.8673696729115722,-1,224,20,0.0028313491385448,-0.150983304478638,AD,1530,8998.407405514967,5051.099257351011,5335.587945389356,2,4,CA,267,0,BA,1,0,20,0,1500.0,0,INTERNET,3.715289888180911,windows,0,1,0,1
51740,1,0.9,0.3161280753306587,-1,56,40,13.550392011745934,-0.9364750216864702,AC,1397,6222.948037280962,4333.314990729051,5340.691240019052,1,9,CA,59,1,BC,0,1,-1,1,200.0,0,INTERNET,7.0931884797045255,windows,0,0,0,1
51898,1,0.4,0.8034065865801588,-1,208,60,0.0090534253137906,-0.8421140581038946,AB,942,5368.9966711800325,2961.0590013096253,3093.1571801463274,15,1,CA,297,1,BA,1,1,1,0,2000.0,0,INTERNET,8.441296997341562,windows,0,1,0,7
51953,1,0.8,0.0624629857866842,-1,117,60,0.0126333821332901,-0.8885341045389319,AC,1084,3210.1749104638234,6245.18371867883,4291.680996075883,0,1,CC,281,0,BA,0,1,-1,0,2000.0,0,INTERNET,5.293366226621917,windows,1,1,0,4
52187,1,0.9,0.8836820744351903,27,13,40,0.0029600978709508,-0.5993518629738208,AC,1734,6297.555072767206,4897.19984720301,4818.266588129419,0,9,CA,257,0,BA,0,1,-1,0,1500.0,0,INTERNET,3.6452544190752136,macintosh,1,1,0,3
52197,1,0.9,0.070745158849364,-1,25,40,0.0040746603191301,-0.8562848813766271,AB,1941,2902.706998468258,3007.799073697633,3730.48641060742,26,6,CA,93,1,BA,0,1,19,0,200.0,0,INTERNET,11.007532936756014,linux,1,1,0,3
52233,1,0.2,0.7569291339807449,-1,79,30,0.0156911767060187,-0.6488957361877148,AB,923,2488.8871720199245,2958.280083739055,3032.1865568639064,17,8,CA,255,1,BA,0,1,30,1,200.0,0,INTERNET,3.298672740434888,linux,0,1,0,7
52255,1,0.9,0.8569579993939715,-1,109,40,0.0099104470688059,-1.0134485689621835,AD,728,4167.44526266585,2770.175851100297,3117.306377050442,17,5,CA,95,0,BC,0,1,11,0,200.0,0,INTERNET,5.099527595473899,windows,0,1,0,7
52363,1,0.7000000000000001,0.1436939817944061,-1,23,30,0.0234905905491515,-1.169566094121378,AB,2043,1028.4564502885728,7147.612217428416,6715.166158180329,12,14,CA,99,1,BB,0,1,28,0,200.0,0,INTERNET,3.891077762278529,other,1,1,0,0
52514,1,0.4,0.8470728703165747,-1,132,40,0.0026674372656969,-0.6964308995478997,AC,2008,7603.313354040555,5349.325737484693,5202.2418816214,1,2,CA,183,1,BA,1,1,-1,1,990.0,0,INTERNET,7.74923676821075,linux,0,1,0,4
52649,1,0.3,0.2354704853659666,-1,53,40,0.0037692791725676,-0.8780599797685232,AC,1423,1884.4255759316488,5585.031834553263,4954.169325044701,0,8,CB,88,1,BC,0,1,-1,0,200.0,0,INTERNET,7.494315682823478,windows,0,1,0,6
52655,1,0.7000000000000001,0.1965888668079944,-1,114,40,0.0054480096069241,-0.8001647554471936,AB,1473,777.1989137759765,3898.078313304795,4361.378198727007,1,8,CA,271,1,BA,0,1,-1,0,1000.0,0,INTERNET,6.321824189629397,other,1,1,0,6
52661,1,0.7000000000000001,0.7240109150725733,-1,198,20,0.0152250487177661,-0.6722713813147614,AC,3942,9825.77981144947,5942.178548969796,5969.286594736655,0,11,CA,60,1,BE,1,1,-1,0,200.0,0,INTERNET,26.41731167098115,other,0,1,0,0
52693,1,0.8,0.3497949543576142,-1,27,30,0.0114251811438993,-1.3190241591912393,AC,2509,5051.944689879433,4482.764377342971,4322.1599318207145,1,13,CA,81,1,BC,0,1,-1,0,200.0,0,INTERNET,12.642988964842267,windows,1,1,0,4
52750,1,0.8,0.0852176808274171,-1,58,20,0.0012580001455472,-1.4747235687329137,AC,2010,4227.6383122851785,6570.911472135055,4843.989659794594,0,19,CA,88,1,BB,0,1,30,0,200.0,0,INTERNET,37.53294273491872,macintosh,0,2,0,3
52755,1,0.9,0.8787276695671857,-1,161,50,0.0053888671063266,-0.3605093247351887,AC,1462,9743.289833180752,5412.56437449963,5022.204320381919,0,8,CA,279,0,BA,1,0,-1,0,1500.0,0,INTERNET,9.177776554076235,windows,0,1,0,3
52834,1,0.8,0.1144105155193405,-1,128,60,0.9315026301804636,-1.588780052897666,AC,948,7351.467420607425,5604.5567072751965,6837.433038897983,1,2,CC,138,1,BB,1,0,-1,0,200.0,0,INTERNET,4.4490379372158415,windows,0,1,0,0
52911,1,0.8,0.5536772982555358,-1,272,60,0.0080526732208047,-0.6493702735794311,AD,978,4492.41520530444,3298.141177618128,3092.29743636802,724,2,CA,161,1,BB,0,1,28,0,1000.0,0,INTERNET,4.398969834504374,windows,0,1,0,7
52952,1,0.9,0.1605320921272821,-1,275,60,0.0011310283656922,-1.4639844511484983,AB,3419,7707.044892045995,5834.79473213414,4936.730728496502,7,1,CC,38,1,BA,1,1,5,0,1000.0,0,INTERNET,5.374528352906165,linux,0,1,0,4
52956,1,0.9,0.2769012118491409,-1,39,30,0.0228712395647465,-0.931522249177298,AB,1241,7681.452713660691,8652.113828370726,5253.082828797485,15,16,CA,96,1,BA,0,1,30,0,1500.0,0,INTERNET,3.4195567113359915,macintosh,0,1,0,1
53023,1,0.1,0.0053048977305574,-1,78,30,0.0123167399752254,-1.2809641446466016,AB,1537,4152.6293162824295,5462.532436951917,4931.730792326806,12,21,CA,72,0,BB,0,1,1,0,200.0,0,INTERNET,4.945565967362528,linux,0,1,0,3
53047,1,0.9,0.203098648020693,-1,58,60,0.0086506858504746,29.799262365821534,AA,2675,4099.67913897256,5139.567332601484,4220.567362569816,114,2,CA,289,1,BA,0,1,15,1,1500.0,0,INTERNET,2.1930270570157098,linux,0,1,0,6
53115,1,0.9,0.9275743936679364,-1,44,40,0.0264551890000145,-1.0072299688571031,AD,1017,1671.0618069151074,7397.999560360807,6276.796070870314,40,9,CA,153,0,BB,0,1,1,0,200.0,0,INTERNET,2.5132897792828715,other,1,1,0,7
53182,1,0.1,0.081660131844253,-1,58,50,0.0126567598323,-1.0549676224973528,AA,1602,3650.1144054009087,7661.193858827548,6726.927796400726,2,7,CA,147,1,BC,0,1,1,0,1500.0,0,INTERNET,5.35624415322213,macintosh,0,1,0,0
53189,1,0.8,0.5693955087005832,-1,68,30,0.006009926421432,100.60123267952495,AA,3078,3144.5114723945453,4790.159407165956,3605.838027704118,1,3,CA,176,1,BA,0,1,25,1,500.0,0,INTERNET,2.0118634392603147,other,0,1,0,3
53257,1,0.8,0.5514438632455876,-1,19,50,0.0027377385069015,-0.4969850503942144,AD,1705,4086.262931651383,4547.965121597292,4772.712999224279,4,4,CA,113,1,BC,1,1,21,0,500.0,0,INTERNET,17.622906940268518,windows,0,1,0,7
53275,1,0.9,0.4515355570480754,-1,163,30,0.0157412523553387,-1.4264653594749266,AA,1751,8704.790756752604,4609.215220281889,4885.538521889907,2,9,CA,126,1,BA,0,1,-1,0,500.0,0,INTERNET,3.5308538486395933,windows,0,1,0,4
53288,1,0.8,0.125285168874721,-1,219,40,0.0070695447391508,-0.3006657062991905,AB,3149,13532.224247382384,5664.96068551788,5490.416550115059,0,5,CA,208,1,BA,0,1,5,0,1500.0,0,INTERNET,5.356795356961522,linux,0,1,0,1
53322,1,0.9,0.185911812885143,-1,322,40,0.0202808201067982,-1.0176118316508629,AB,1045,4660.413466175658,4504.142955860274,4284.68694608233,19,5,CA,173,1,BA,0,1,1,0,1500.0,0,INTERNET,4.465847487336813,windows,0,1,0,6
53397,1,0.1,0.5764350375843396,-1,175,40,0.0205373375759359,-0.1678334721445226,AC,3750,2048.179079248664,4816.46123785362,4251.642576765702,1,3,CA,289,0,BA,0,0,-1,0,2000.0,0,INTERNET,19.168977935721525,macintosh,0,1,0,6
53591,1,0.1,0.0689584082317843,55,5,30,0.0117222112746407,8.180802560181386,AA,673,4763.962071588819,3713.694361969064,3169.268897644845,14,9,CD,49,1,BC,0,1,15,0,200.0,0,INTERNET,4.5026899692191344,other,0,1,0,7
53593,1,0.1,0.0301938351279577,-1,27,30,0.0015376746346003,-1.5319937076683006,AD,2590,7566.692486598302,5375.321902665517,5866.892499184658,12,11,CA,87,1,BC,0,1,28,0,200.0,0,INTERNET,5.344958196804681,windows,1,1,0,0
53805,1,0.8,0.7144099150932186,-1,47,30,0.0054544346545305,-0.3823308279667179,AB,803,5705.274793739812,4070.676358613375,4952.300296677806,1,12,CA,229,1,BC,0,1,15,0,2000.0,0,INTERNET,3.3708362769051585,windows,0,1,0,3
53963,1,0.8,0.8626128473259,-1,125,40,2.1074904862686727,-1.2416214245806534,AC,1285,4850.553288425304,3925.6295955193928,5698.106900884704,1,2,CA,149,0,BA,0,1,-1,0,1000.0,0,INTERNET,6.4595315690147865,windows,1,1,0,2
54000,1,0.8,0.1781242190510919,-1,66,30,0.009841064365711,-1.1053936919428973,AB,3607,8287.676679283268,5728.588053916227,4777.096740934176,41,13,CB,47,1,BC,1,0,25,0,200.0,0,INTERNET,2.3848308546207244,windows,0,1,0,0
54091,1,0.9,0.1091011588710423,-1,54,50,0.0251490725344644,-1.197672735621698,AD,1036,7576.528870716292,3494.340868732681,3656.990431862269,208,7,CA,206,1,BA,0,1,4,0,990.0,0,INTERNET,4.449568238307582,windows,1,1,0,0
54132,1,0.7000000000000001,0.0531040498991877,-1,35,20,0.0286578631403211,-1.4825825605883387,AB,548,2025.4604982100625,5370.601026545332,6742.452588992078,30,18,CA,90,1,BE,0,1,26,0,200.0,0,INTERNET,0.9583623620952172,other,0,2,0,0
54188,1,0.8,0.1593897193307707,-1,52,40,0.0156595666217535,-0.588171176613531,AC,2119,2181.6013647595387,3366.573666955678,4193.135704410284,0,8,CA,150,0,BC,0,1,-1,0,500.0,0,INTERNET,1.790587115377548,windows,1,1,0,5
54337,1,0.6000000000000001,0.7395168723571989,189,61,50,0.0136355165654063,-1.1337851388040656,AC,2687,7126.746914424956,4677.302987916993,5948.206800377951,1,5,CA,93,1,BC,0,1,-1,0,200.0,0,INTERNET,11.28071969722944,linux,0,1,0,0
54367,1,0.9,0.9002955432000859,-1,165,60,0.0005131273216513,-0.1134868493122042,AB,982,3570.3976693161408,2772.9588491555187,4271.974824346763,2,9,CA,204,0,BA,0,1,30,0,1000.0,0,INTERNET,6.9410363198567175,windows,1,1,0,5
54380,1,0.3,0.2366273093568405,-1,307,20,3.5391522358974914,-0.4941089588942192,AC,2028,12499.694674997088,3767.612277609435,5316.500321188898,1,5,CA,25,1,BE,0,1,-1,0,200.0,0,INTERNET,5.038577961140074,windows,0,1,0,1
54423,1,0.9,0.3730694767873064,-1,74,30,0.0130985390383784,-1.2282688438038112,AC,2549,2048.391424176722,6130.710667200311,4802.734706968957,0,9,CA,165,1,BC,1,0,-1,0,500.0,0,TELEAPP,6.013389662170549,other,0,1,0,3
54578,1,0.9,0.5124953953223663,-1,380,60,0.0126635187430998,-0.5610868871838592,AB,990,7748.311225954685,5776.825124540957,4926.216238801101,876,1,CC,40,0,BA,1,1,1,0,200.0,0,INTERNET,24.308427521732675,windows,0,2,0,3
54715,1,0.7000000000000001,0.5491995091685669,-1,134,30,0.0170833894562035,-1.3364293695296716,AB,1078,6276.4155635514135,6289.857664087193,5272.903223842609,10,15,CA,113,1,BA,1,0,30,0,200.0,0,INTERNET,1.036839947989129,windows,1,1,0,1
54762,1,0.7000000000000001,0.2874108729452172,-1,254,50,0.00117216497955,-0.8540332549064669,AB,942,6674.432373150542,3840.603233565824,4807.938103155925,12,2,CA,120,1,BA,1,1,6,0,200.0,0,INTERNET,1.2232580391656291,windows,0,2,0,3
54926,1,0.1,0.3369473170201175,-1,111,40,0.0178439502327265,-1.4959217835847314,AC,1913,9613.090870828732,5954.790140665759,3470.367881613361,6,3,CC,276,1,BC,0,1,-1,0,1500.0,0,INTERNET,2.8075762687795978,macintosh,0,1,0,6
55020,1,0.9,0.736812588048075,-1,36,50,0.0313958840819589,-1.1748740076533049,AB,884,8935.477977663077,5971.825875531376,5495.809276070797,12,2,CC,0,1,BB,0,1,1,1,200.0,0,INTERNET,2.985853890759649,linux,0,2,0,1
55098,1,0.1,0.0307320034388531,-1,94,20,2.92014554649876,-0.8215164278875006,AC,1228,5429.516475167146,4342.3246503852015,4295.581833642083,0,9,CA,109,1,BA,0,1,-1,0,200.0,1,INTERNET,11.072302884894809,macintosh,0,1,0,3
55108,1,0.9,0.6423805506369084,-1,109,50,0.0007751238000532,-0.5925696964866669,AB,1007,3077.958365137479,2910.136893321165,4328.821590485642,2,5,CA,185,0,BA,1,1,10,0,2000.0,0,INTERNET,5.236890317199864,windows,0,1,0,4
